COSMIC_ID,CELL_LINE_NAME,TCGA_DESC,DRUG_ID,LN_IC50,Z_SCORE
910927,CAL-51,BRCA,1003,-3.521093,-0.686816
749712,HCC1395,BRCA,1003,-2.309078,-0.096212
908122,MDA-MB-453,BRCA,1003,-2.014633,0.047269
910852,CAL-85-1,BRCA,1003,-1.17757,0.455162
906844,DU-4475,BRCA,1003,-4.271105,-1.05229
924240,MDA-MB-415,BRCA,1003,0.57138,1.30741
749715,HCC2157,BRCA,1003,-1.728301,0.186796
749716,HCC2218,BRCA,1003,1.054417,1.542789
946382,CAMA-1,BRCA,1003,-0.630463,0.721763
908151,MRK-nu-1,BRCA,1003,-2.243342,-0.064179
946359,BT-474,BRCA,1003,3.556764,2.76216
908123,MDA-MB-468,BRCA,1003,-2.55424,-0.215677
909907,ZR-75-30,BRCA,1003,2.638266,2.314585
1298157,JIMT-1,BRCA,1003,-0.897835,0.591474
905946,MCF7,BRCA,1003,-1.12617,0.480209
1303900,HCC1500,BRCA,1003,-1.085408,0.500072
905957,Hs-578-T,BRCA,1003,-0.287232,0.889016
910704,AU565,BRCA,1003,-3.140216,-0.501218
1290922,HDQ-P1,BRCA,1003,-1.283605,0.403492
906812,COLO-824,BRCA,1003,-0.043674,1.007699
908121,MDA-MB-361,BRCA,1003,-0.959321,0.561513
910948,MFM-223,BRCA,1003,2.776031,2.381717
1240172,MDA-MB-436,BRCA,1003,-1.635276,0.232126
749714,HCC1937,BRCA,1003,0.224916,1.138581
907048,HCC70,BRCA,1003,0.121553,1.088213
909256,OCUB-M,BRCA,1003,-1.967764,0.070108
905960,MDA-MB-231,BRCA,1003,-2.227156,-0.056292
909778,UACC-893,BRCA,1003,-0.524717,0.773291
1290798,EFM-192A,BRCA,1003,1.431538,1.726557
949093,BT-483,BRCA,1003,2.115236,2.059717
749713,HCC1599,BRCA,1003,-3.106684,-0.484878
905945,T47D,BRCA,1003,-0.906245,0.587376
749710,HCC1143,BRCA,1003,1.343315,1.683567
749717,HCC38,BRCA,1003,-2.078181,0.016302
907045,HCC1419,BRCA,1003,0.84632,1.441385
1290905,HCC1428,BRCA,1003,2.703446,2.346346
924106,CAL-148,BRCA,1003,-4.684976,-1.253966
749711,HCC1187,BRCA,1003,1.736985,1.875399
906826,CAL-120,BRCA,1003,-1.152528,0.467365
906851,EFM-19,BRCA,1003,0.169891,1.111768
925338,MDA-MB-157,BRCA,1003,-0.618514,0.727585
905951,BT-549,BRCA,1003,-1.236487,0.426452
906862,EVSA-T,BRCA,1003,-1.268542,0.410832
1330941,MDA-MB-330,BRCA,1003,2.042513,2.02428
907046,HCC1569,BRCA,1003,0.104913,1.080105
749709,HCC1954,BRCA,1003,-0.251083,0.906631
906801,BT-20,BRCA,1003,-2.26343,-0.073968
908120,MDA-MB-175-VII,BRCA,1003,-2.155252,-0.021254
910910,UACC-812,BRCA,1003,-2.695748,-0.284632
910927,CAL-51,BRCA,1004,-5.008028,-0.687866
908120,MDA-MB-175-VII,BRCA,1004,-2.60539,0.467148
749712,HCC1395,BRCA,1004,-5.145896,-0.754143
908122,MDA-MB-453,BRCA,1004,-3.694394,-0.056366
910852,CAL-85-1,BRCA,1004,-1.936092,0.788898
906844,DU-4475,BRCA,1004,-3.745807,-0.081081
924240,MDA-MB-415,BRCA,1004,-3.904393,-0.157318
749715,HCC2157,BRCA,1004,-4.008405,-0.207319
946382,CAMA-1,BRCA,1004,-2.059898,0.729381
908151,MRK-nu-1,BRCA,1004,-5.79215,-1.064815
946359,BT-474,BRCA,1004,-2.140396,0.690683
908123,MDA-MB-468,BRCA,1004,-4.443278,-0.416375
909907,ZR-75-30,BRCA,1004,2.238709,2.795839
1298157,JIMT-1,BRCA,1004,-4.730245,-0.554328
905946,MCF7,BRCA,1004,-2.060329,0.729174
1303900,HCC1500,BRCA,1004,-3.469972,0.05152
905957,Hs-578-T,BRCA,1004,-4.90257,-0.637169
910704,AU565,BRCA,1004,-2.721654,0.411257
1290922,HDQ-P1,BRCA,1004,-2.452579,0.540609
906812,COLO-824,BRCA,1004,-3.133944,0.213058
908121,MDA-MB-361,BRCA,1004,-5.964192,-1.14752
910948,MFM-223,BRCA,1004,-2.710613,0.416565
1240172,MDA-MB-436,BRCA,1004,-1.641641,0.930449
749714,HCC1937,BRCA,1004,1.086152,2.241774
907048,HCC70,BRCA,1004,-2.35452,0.587748
909256,OCUB-M,BRCA,1004,-4.714955,-0.546978
905960,MDA-MB-231,BRCA,1004,-3.740682,-0.078617
1290798,EFM-192A,BRCA,1004,1.128721,2.262238
949093,BT-483,BRCA,1004,2.5742,2.957119
905945,T47D,BRCA,1004,-1.45413,1.020591
749710,HCC1143,BRCA,1004,1.356527,2.37175
749717,HCC38,BRCA,1004,-0.541191,1.459465
907045,HCC1419,BRCA,1004,-0.90417,1.284971
1290905,HCC1428,BRCA,1004,-0.674945,1.395166
924106,CAL-148,BRCA,1004,-5.559847,-0.95314
749711,HCC1187,BRCA,1004,0.216149,1.823539
906826,CAL-120,BRCA,1004,-1.566172,0.966729
910910,UACC-812,BRCA,1004,-1.485777,1.005377
906851,EFM-19,BRCA,1004,-4.067755,-0.235851
925338,MDA-MB-157,BRCA,1004,-4.24999,-0.323456
905951,BT-549,BRCA,1004,-2.224566,0.650221
906862,EVSA-T,BRCA,1004,-2.57259,0.482916
749709,HCC1954,BRCA,1004,-3.058914,0.249127
906801,BT-20,BRCA,1004,-1.757154,0.874919
910927,CAL-51,BRCA,1005,2.492692,-0.579604
908120,MDA-MB-175-VII,BRCA,1005,5.193576,0.808658
749712,HCC1395,BRCA,1005,2.918406,-0.360786
