COSMIC_ID,CELL_LINE_NAME,TCGA_DESC,DRUG_ID,LN_IC50,Z_SCORE
909751,SW48,COREAD,1003,-3.784746,-0.815291
905962,SW620,COREAD,1003,-3.092858,-0.478141
908442,NCI-H508,COREAD,1003,-3.447166,-0.650792
909740,SNU-C2B,COREAD,1003,0.067435,1.061842
909718,SK-CO-1,COREAD,1003,-5.331648,-1.569083
905971,HCC2998,COREAD,1003,-1.265275,0.412424
1674021,SNU-C5,COREAD,1003,-2.502602,-0.190514
1659928,SNU-175,COREAD,1003,-3.412054,-0.633682
909748,SW1463,COREAD,1003,-2.143157,-0.01536
907790,LoVo,COREAD,1003,-3.221495,-0.540824
1240124,CL-40,COREAD,1003,-3.868761,-0.856231
907795,LS-513,COREAD,1003,-2.945073,-0.406126
908457,NCI-H747,COREAD,1003,-0.455879,0.806835
909698,RKO,COREAD,1003,-3.632296,-0.741004
908458,NCI-H716,COREAD,1003,-0.072106,0.993845
1660036,SNU-81,COREAD,1003,-0.333842,0.866303
907794,LS-411N,COREAD,1003,-1.146271,0.470414
907291,GP5d,COREAD,1003,-3.381439,-0.618763
1240173,MDST8,COREAD,1003,-3.645002,-0.747195
909747,SW1417,COREAD,1003,0.678112,1.359419
909761,T84,COREAD,1003,-2.222119,-0.053837
1290771,CL-34,COREAD,1003,-2.68195,-0.277909
910905,SNU-C1,COREAD,1003,-0.237601,0.9132
909755,SW837,COREAD,1003,-0.862671,0.608609
1290769,CL-11,COREAD,1003,-1.605026,0.246867
905939,HT-29,COREAD,1003,-2.143997,-0.015769
909263,RCM-1,COREAD,1003,-1.783233,0.160028
905937,HCT-15,COREAD,1003,-2.869888,-0.369489
924108,CaR-1,COREAD,1003,-2.761606,-0.316725
1789883,DiFi,COREAD,1003,-1.488213,0.303789
905961,COLO-205,COREAD,1003,-1.044537,0.519988
907287,HT55,COREAD,1003,-0.374586,0.846449
909757,SW948,COREAD,1003,-2.523671,-0.200781
917486,LS-1034,COREAD,1003,-1.050013,0.517319
910554,CW-2,COREAD,1003,-2.520942,-0.199451
1660034,SNU-407,COREAD,1003,-1.425613,0.334293
1240123,CCK-81,COREAD,1003,-2.553237,-0.215188
905936,HCT-116,COREAD,1003,-2.985721,-0.425934
905989,KM12,COREAD,1003,-2.0952,0.008009
998189,LS-180,COREAD,1003,-2.866705,-0.367938
907289,HT-115,COREAD,1003,-1.601612,0.24853
910700,C2BBe1,COREAD,1003,0.503885,1.27452
910569,COLO-320-HSR,COREAD,1003,-1.622168,0.238513
910689,COLO-678,COREAD,1003,4.132475,3.042699
1659823,SNU-1040,COREAD,1003,0.754433,1.39661
907792,LS-123,COREAD,1003,0.006045,1.031927
1660035,SNU-61,COREAD,1003,1.967806,1.987875
909746,SW1116,COREAD,1003,-0.260577,0.902005
909751,SW48,COREAD,1004,-4.792971,-0.584482
905962,SW620,COREAD,1004,-3.95568,-0.181973
909740,SNU-C2B,COREAD,1004,-3.231695,0.166066
909718,SK-CO-1,COREAD,1004,-5.73858,-1.039062
905971,HCC2998,COREAD,1004,-5.686575,-1.014062
1660035,SNU-61,COREAD,1004,-1.592942,0.95386
1674021,SNU-C5,COREAD,1004,-4.621132,-0.501874
1659928,SNU-175,COREAD,1004,-6.072786,-1.199724
909748,SW1463,COREAD,1004,-2.246033,0.639901
907790,LoVo,COREAD,1004,-4.596133,-0.489857
909746,SW1116,COREAD,1004,0.548869,1.983487
1240124,CL-40,COREAD,1004,-3.323686,0.121844
908457,NCI-H747,COREAD,1004,-0.723151,1.371992
909698,RKO,COREAD,1004,-5.502073,-0.925367
908458,NCI-H716,COREAD,1004,-1.889468,0.811312
907794,LS-411N,COREAD,1004,-3.852271,-0.132262
907291,GP5d,COREAD,1004,-5.646879,-0.994979
1240173,MDST8,COREAD,1004,-6.611332,-1.458618
909747,SW1417,COREAD,1004,0.88816,2.146594
909761,T84,COREAD,1004,-3.689954,-0.054231
910905,SNU-C1,COREAD,1004,-1.293078,1.098012
