"CID","MolecularFormula","MolecularWeight","CanonicalSMILES"
10096043,"C26H31N3O5",465.500000,"CCNC(=O)C1=C(C(=C2C=C(C(=CC2=O)O)C(C)C)ON1)C3=CC=C(C=C3)CN4CCOCC4"
17755052,"C23H27N7O3S2",513.600000,"CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6"
60838,"C33H38N4O6",586.700000,"CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7"
11488320,"C23H25ClFN5O3",473.900000,"CNC(=O)CN1CCC(CC1)OC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC"
3385,"C4H3FN2O2",130.080000,"C1=C(C(=O)NC(=O)N1)F"
9914412,"C29H31N5O4",513.600000,"COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5"
11364421,"C28H39N7O3",521.700000,"CCC1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C"
51371303,"C19H21F3N6",390.400000,"CCC1=CN=CN=C1N2CCN(CC2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F"
5310940,"C8H16N2O4Pt",399.300000,"C1CCC(C(C1)N)N.C(=O)(C(=O)O)O.[Pt]"
9858940,"C20H21N3O2",335.400000,"CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4"
2984337,"C29H23N5O3S",521.600000,"COC1=CC=C(C=C1)N2C(=NN=C2SCCCN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)C6=CC=NC=C6"
9927531,"C21H17NO3",331.400000,"CC(=CC(=O)NC1=CC=CC=C1C(=O)O)C2=CC3=CC=CC=C3C=C2"
68947304,"C21H16FN7",385.400000,"CC(C1=C(N=C2C=C(C=CC2=C1)F)C3=CC=CC=N3)NC4=NC=NC5=C4NC=N5"
24905401,"C17H16ClN3O",313.800000,"C1=CC(=CC=C1C2=CNN=C2)C(CN)(C3=CC=C(C=C3)Cl)O"
5384616,"C9H6N5",184.180000,"C1=CC=C(C=C1)N=C(NC#N)[N]C#N"
41867,"C27H29NO11",543.500000,"CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O"
24737642,"C26H33FN4O3S",500.600000,"CC(C(=O)NC(C1CCCCC1)C(=O)N2CCCC2C3=NC(=CS3)C(=O)C4=CC=C(C=C4)F)NC"
46931953,"C12H7F2NO3S2",315.300000,"CC(=O)C1=CC(=C(S1)SC2=C(C=C(C=C2)F)F)[N+](=O)[O-]"
353472,"C15H20N4O8",384.340000,"COC1=C(C(=C2C(=C1)C(=O)NC(N2)(NC(=O)OC)NC(=O)OC)OC)OC"
73555129,"C15H17ClIN3O3",449.670000,"C=CC(=O)N1CCN(CC1)C(=O)CNC2=CC(=C(C=C2O)Cl)I"
25227436,"C21H25ClN6O2",428.900000,"C1CN(CCC1(C(=O)NC(CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4"
71496458,"C28H33N7O2",499.600000,"CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC"
9933475,"C25H27FN4O3",450.500000,"CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5"
59472121,"C24H25N5O3S",463.600000,"CC(C)S(=O)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C3=CC(=NO3)C4=CC=C(C=C4)CNC)N"
56649450,"C19H22F3N5O2S",441.500000,"CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F"
46926973,"C23H20N6O",396.400000,"CC1=CC(=CN=C1C2=CC(=NC=C2)C)CC(=O)NC3=NC=C(C=C3)C4=NC=CN=C4"
23725625,"C24H23FN4O3",434.500000,"C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F"
10384072,"C20H11ClN2O3",362.800000,"C1=CC=C(C(=C1)C2=CC3=C(C4=C(N3)C=CC(=C4)O)C5=C2C(=O)NC5=O)Cl"
46930998,"C25H23Cl2N5O",480.400000,"C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N.Cl.Cl"
11719003,"C21H22Cl2N4O2",433.300000,"CC(C)NC1=NC=C(C(=C1)C2=CNC(=C2)C(=O)NC(CO)C3=CC(=CC=C3)Cl)Cl"
176870,"C22H23N3O4",393.400000,"COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC"
